ea1,ea2
311,303
311,373
303,311
303,256
256,303
256,373
373,311
373,256
435,510
435,85
435,190
435,148
435,357
435,37
435,10
435,135
435,105
435,23
435,413
435,168
435,529
435,591
435,121
435,139
435,275
435,339
435,73
435,452
435,209
435,334
207,510
207,85
207,190
207,148
207,357
207,37
207,10
207,135
207,105
207,23
207,413
207,168
207,529
207,591
207,121
207,139
207,275
207,339
207,73
207,452
207,209
207,334
207,451
207,216
207,318
207,161
207,502
207,437
207,427
207,27
207,104
207,65
207,241
207,5
207,19
207,374
207,369
510,272
510,277
510,435
510,4
510,246
510,33
510,579
510,66
510,113
510,541
510,462
510,236
510,562
510,177
510,389
510,156
510,182
510,217
510,458
510,320
510,516
510,327
510,401
510,378
510,170
510,428
510,0
510,29
510,46
510,500
510,62
510,41
510,73
510,56
510,169
510,118
510,203
510,592
510,3
510,207
510,568
510,6
510,460
510,153
272,510
272,85
272,190
272,148
272,357
272,37
272,10
272,135
272,105
272,23
272,413
272,168
272,305
272,161
272,421
272,365
272,322
277,510
277,85
277,190
277,148
277,357
277,37
277,10
277,135
277,105
277,23
277,413
277,168
277,543
85,272
85,277
85,435
85,4
85,246
85,33
85,579
85,66
85,113
85,541
85,462
85,236
85,562
85,177
85,389
85,156
85,182
85,217
85,458
85,320
85,516
85,327
85,401
85,378
85,170
85,428
85,0
85,29
85,46
85,500
85,62
85,41
85,73
85,56
85,169
85,118
85,203
85,592
85,3
85,207
85,568
85,6
85,460
85,153
190,272
190,277
190,435
190,4
190,246
190,33
190,579
190,66
190,113
190,541
190,462
190,236
190,562
190,177
190,389
190,156
190,182
190,217
190,458
190,320
190,516
190,327
190,401
190,378
190,170
190,428
190,0
190,29
190,46
190,500
190,62
190,41
190,73
190,56
190,169
190,118
190,203
190,592
190,3
190,207
190,568
190,6
190,460
190,153
148,272
148,277
148,435
148,4
148,246
148,33
148,579
148,66
148,113
148,541
148,462
148,236
148,562
148,177
148,389
148,156
148,182
148,217
148,458
148,320
148,516
148,327
148,401
148,378
148,170
148,428
148,0
148,29
148,46
148,500
148,62
148,41
148,73
148,56
148,169
148,118
148,203
148,592
148,3
148,207
148,568
148,6
148,460
148,153
148,391
148,196
148,211
4,510
4,85
4,190
4,148
4,357
4,37
4,10
4,135
4,105
4,23
4,413
4,168
357,272
357,277
357,435
357,4
357,246
357,33
357,579
357,66
357,113
357,541
357,462
357,236
357,562
357,177
357,389
357,156
357,182
357,217
357,458
357,320
357,516
357,327
357,401
357,378
357,170
357,428
357,0
357,29
357,46
357,500
357,62
357,41
357,73
357,56
357,169
357,118
357,203
357,592
357,3
357,207
357,568
357,6
357,460
357,153
357,565
357,449
357,252
357,540
246,510
246,85
246,190
246,148
246,357
246,37
246,10
246,135
246,105
246,23
246,413
246,168
246,376
246,500
37,272
37,277
37,435
37,4
37,246
37,33
37,579
37,66
37,113
37,541
37,462
37,236
37,562
37,177
37,389
37,156
37,182
37,217
37,458
37,320
37,516
37,327
37,401
37,378
37,170
37,428
37,0
37,29
37,46
37,500
37,62
37,41
37,73
37,56
37,169
37,118
37,203
37,592
37,3
37,207
37,568
37,6
37,460
37,153
451,432
451,214
451,542
451,329
451,274
451,475
451,182
451,349
451,207
451,250
178,529
178,591
178,121
178,139
178,275
178,339
178,73
178,452
178,209
178,334
178,130
178,350
178,161
178,572
178,82
178,285
178,543
529,178
529,112
529,175
529,419
529,435
529,385
529,270
529,378
529,61
529,599
529,56
529,253
529,153
529,83
529,160
529,518
529,464
529,46
529,207
112,529
112,591
112,121
112,139
112,275
112,339
112,73
112,452
112,209
112,334
175,529
175,591
175,121
175,139
175,275
175,339
175,73
175,452
175,209
175,334
33,510
33,85
33,190
33,148
33,357
33,37
33,10
33,135
33,105
33,23
33,413
33,168
579,510
579,85
579,190
579,148
579,357
579,37
579,10
579,135
579,105
579,23
579,413
579,168
579,141
579,327
579,545
579,559
579,163
579,94
579,164
579,561
579,331
579,187
579,370
10,272
10,277
10,435
10,4
10,246
10,33
10,579
10,66
10,113
10,541
10,462
10,236
10,562
10,177
10,389
10,156
10,182
10,217
10,458
10,320
10,516
10,327
10,401
10,378
10,170
10,428
10,0
10,29
10,46
10,500
10,62
10,41
10,73
10,56
10,169
10,118
10,203
10,592
10,3
10,207
10,568
10,6
10,460
10,153
66,510
66,85
66,190
66,148
66,357
66,37
66,10
66,135
66,105
66,23
66,413
66,168
66,34
66,74
66,26
66,440
66,192
113,510
113,85
113,190
113,148
113,357
113,37
113,10
113,135
113,105
113,23
113,413
113,168
161,297
161,173
161,170
161,603
161,189
161,586
161,107
161,583
161,272
161,356
161,75
161,250
161,35
161,182
161,456
161,251
161,432
161,214
161,542
161,329
161,274
161,475
161,349
161,207
161,149
161,226
161,133
161,571
161,52
161,46
161,320
161,415
161,474
161,178
161,507
161,433
161,50
161,322
161,459
161,249
161,419
161,296
161,120
161,309
161,511
161,300
161,9
161,377
313,166
266,166
299,166
166,313
166,266
166,299
166,64
166,414
64,166
414,166
278,391
278,196
278,428
278,211
278,191
278,42
391,278
391,148
196,278
196,148
196,527
196,592
196,200
196,71
196,492
196,387
196,232
196,235
196,441
196,367
428,510
428,85
428,190
428,148
428,357
428,37
428,10
428,135
428,105
428,23
428,413
428,168
428,278
211,278
211,148
410,527
410,592
410,200
410,71
410,8
410,106
410,565
410,360
410,154
527,410
527,81
527,485
527,196
527,528
81,527
81,592
81,200
81,71
81,149
81,226
81,133
81,297
81,571
81,52
81,46
81,320
81,415
81,474
592,510
592,85
592,190
592,148
592,357
592,37
592,10
592,135
592,105
592,23
592,413
592,168
592,410
592,81
592,485
592,196
592,528
485,527
485,592
485,200
485,71
200,410
200,81
200,485
200,196
200,528
71,410
71,81
71,485
71,196
71,528
528,527
528,592
528,200
528,71
475,437
475,502
475,451
475,216
475,318
475,161
475,39
475,605
475,505
475,289
475,525
475,368
499,218
173,476
173,433
173,292
173,161
173,225
173,183
173,315
173,429
173,362
173,361
173,417
173,20
173,259
173,43
173,69
173,564
173,567
173,5
173,102
173,17
173,49
173,283
173,463
173,36
173,163
173,505
173,201
173,91
173,68
173,372
173,263
173,213
173,141
173,602
173,230
203,510
203,85
203,190
203,148
203,357
203,37
203,10
203,135
203,105
203,23
203,413
203,168
297,476
297,433
297,292
297,161
297,225
297,183
297,162
297,130
297,395
297,467
297,134
297,224
297,81
297,543
297,600
297,185
476,297
476,173
476,170
476,603
476,189
433,297
433,173
433,170
433,603
433,189
433,130
433,350
433,161
433,572
433,82
433,285
433,218
170,510
170,85
170,190
170,148
170,357
170,37
170,10
170,135
170,105
170,23
170,413
170,168
170,476
170,433
170,292
170,161
170,225
170,183
603,476
603,433
603,292
603,161
603,225
603,183
603,218
603,167
603,605
603,360
603,340
603,540
603,571
189,476
189,433
189,292
189,161
189,225
189,183
189,543
292,297
292,173
292,170
292,603
292,189
292,34
292,74
292,26
292,440
292,192
225,297
225,173
225,170
225,603
225,189
225,34
183,297
183,173
183,170
183,603
183,189
183,543
183,301
183,422
183,162
183,467
183,375
183,185
183,259
183,206
183,55
183,39
183,221
183,327
183,58
183,438
183,450
183,545
183,283
183,40
183,286
183,382
183,535
183,408
183,463
183,36
183,163
183,505
183,201
183,91
183,359
183,370
183,94
183,337
183,172
183,484
183,574
183,291
183,571
